sequence,seq_type,method,pair,baseline_idx,ratio,num_matches,num_correct,num_ground_truth
i_ajuntament,illumination,sift,1_2,2,0.5,155,147,481
i_ajuntament,illumination,sift,1_2,2,0.55,180,172,481
i_ajuntament,illumination,sift,1_2,2,0.6,210,197,481
i_ajuntament,illumination,sift,1_2,2,0.65,254,229,481
i_ajuntament,illumination,sift,1_2,2,0.7,296,256,481
i_ajuntament,illumination,sift,1_2,2,0.75,348,284,481
i_ajuntament,illumination,sift,1_2,2,0.8,396,300,481
i_ajuntament,illumination,sift,1_2,2,0.85,447,314,481
i_ajuntament,illumination,sift,1_2,2,0.9,518,329,481
i_ajuntament,illumination,sift,1_2,2,0.95,631,344,481
i_ajuntament,illumination,sift,1_2,2,0.99,792,351,481
i_ajuntament,illumination,sift,1_3,3,0.5,2,1,137
i_ajuntament,illumination,sift,1_3,3,0.55,8,3,137
i_ajuntament,illumination,sift,1_3,3,0.6,17,5,137
i_ajuntament,illumination,sift,1_3,3,0.65,24,6,137
i_ajuntament,illumination,sift,1_3,3,0.7,39,8,137
i_ajuntament,illumination,sift,1_3,3,0.75,64,12,137
i_ajuntament,illumination,sift,1_3,3,0.8,95,16,137
i_ajuntament,illumination,sift,1_3,3,0.85,147,22,137
i_ajuntament,illumination,sift,1_3,3,0.9,255,27,137
i_ajuntament,illumination,sift,1_3,3,0.95,453,32,137
i_ajuntament,illumination,sift,1_3,3,0.99,727,41,137
i_ajuntament,illumination,sift,1_4,4,0.5,3,1,67
i_ajuntament,illumination,sift,1_4,4,0.55,4,1,67
i_ajuntament,illumination,sift,1_4,4,0.6,7,1,67
i_ajuntament,illumination,sift,1_4,4,0.65,12,3,67
i_ajuntament,illumination,sift,1_4,4,0.7,19,4,67
i_ajuntament,illumination,sift,1_4,4,0.75,38,6,67
i_ajuntament,illumination,sift,1_4,4,0.8,67,9,67
i_ajuntament,illumination,sift,1_4,4,0.85,125,10,67
i_ajuntament,illumination,sift,1_4,4,0.9,212,11,67
i_ajuntament,illumination,sift,1_4,4,0.95,428,12,67
i_ajuntament,illumination,sift,1_4,4,0.99,730,14,67
i_ajuntament,illumination,sift,1_5,5,0.5,7,4,69
i_ajuntament,illumination,sift,1_5,5,0.55,17,6,69
i_ajuntament,illumination,sift,1_5,5,0.6,32,7,69
i_ajuntament,illumination,sift,1_5,5,0.65,41,8,69
i_ajuntament,illumination,sift,1_5,5,0.7,58,8,69
i_ajuntament,illumination,sift,1_5,5,0.75,79,8,69
i_ajuntament,illumination,sift,1_5,5,0.8,119,9,69
i_ajuntament,illumination,sift,1_5,5,0.85,181,10,69
i_ajuntament,illumination,sift,1_5,5,0.9,278,10,69
i_ajuntament,illumination,sift,1_5,5,0.95,467,12,69
i_ajuntament,illumination,sift,1_5,5,0.99,748,16,69
i_ajuntament,illumination,sift,1_6,6,0.5,3,2,69
i_ajuntament,illumination,sift,1_6,6,0.55,5,3,69
i_ajuntament,illumination,sift,1_6,6,0.6,6,3,69
i_ajuntament,illumination,sift,1_6,6,0.65,9,5,69
i_ajuntament,illumination,sift,1_6,6,0.7,22,6,69
i_ajuntament,illumination,sift,1_6,6,0.75,33,7,69
i_ajuntament,illumination,sift,1_6,6,0.8,62,8,69
i_ajuntament,illumination,sift,1_6,6,0.85,101,10,69
i_ajuntament,illumination,sift,1_6,6,0.9,198,10,69
i_ajuntament,illumination,sift,1_6,6,0.95,392,10,69
i_ajuntament,illumination,sift,1_6,6,0.99,723,13,69
i_ajuntament,illumination,orb,1_2,2,0.5,349,343,1766
i_ajuntament,illumination,orb,1_2,2,0.55,427,416,1766
i_ajuntament,illumination,orb,1_2,2,0.6,499,486,1766
i_ajuntament,illumination,orb,1_2,2,0.65,585,561,1766
i_ajuntament,illumination,orb,1_2,2,0.7,688,650,1766
i_ajuntament,illumination,orb,1_2,2,0.75,803,733,1766
i_ajuntament,illumination,orb,1_2,2,0.8,937,821,1766
i_ajuntament,illumination,orb,1_2,2,0.85,1109,922,1766
i_ajuntament,illumination,orb,1_2,2,0.9,1296,1015,1766
i_ajuntament,illumination,orb,1_2,2,0.95,1547,1105,1766
i_ajuntament,illumination,orb,1_2,2,0.99,1850,1188,1766
i_ajuntament,illumination,orb,1_3,3,0.5,2,2,917
i_ajuntament,illumination,orb,1_3,3,0.55,6,4,917
i_ajuntament,illumination,orb,1_3,3,0.6,13,10,917
i_ajuntament,illumination,orb,1_3,3,0.65,23,16,917
i_ajuntament,illumination,orb,1_3,3,0.7,35,23,917
i_ajuntament,illumination,orb,1_3,3,0.75,66,35,917
i_ajuntament,illumination,orb,1_3,3,0.8,129,49,917
i_ajuntament,illumination,orb,1_3,3,0.85,232,68,917
i_ajuntament,illumination,orb,1_3,3,0.9,497,92,917
i_ajuntament,illumination,orb,1_3,3,0.95,976,129,917
i_ajuntament,illumination,orb,1_3,3,0.99,1749,156,917
i_ajuntament,illumination,orb,1_4,4,0.5,0,0,549
i_ajuntament,illumination,orb,1_4,4,0.55,0,0,549
i_ajuntament,illumination,orb,1_4,4,0.6,1,1,549
i_ajuntament,illumination,orb,1_4,4,0.65,4,2,549
i_ajuntament,illumination,orb,1_4,4,0.7,5,2,549
i_ajuntament,illumination,orb,1_4,4,0.75,16,5,549
i_ajuntament,illumination,orb,1_4,4,0.8,56,6,549
i_ajuntament,illumination,orb,1_4,4,0.85,127,9,549
i_ajuntament,illumination,orb,1_4,4,0.9,363,18,549
i_ajuntament,illumination,orb,1_4,4,0.95,873,25,549
i_ajuntament,illumination,orb,1_4,4,0.99,1739,34,549
