sequence,seq_type,method,pair,baseline_idx,num_kp1,num_kp2,num_matches,time_sec,correct_at_1px,num_ground_truth_at_1px,precision_at_1px,recall_at_1px,correct_at_2px,num_ground_truth_at_2px,precision_at_2px,recall_at_2px,correct_at_3px,num_ground_truth_at_3px,precision_at_3px,recall_at_3px,correct_at_5px,num_ground_truth_at_5px,precision_at_5px,recall_at_5px,correct_at_10px,num_ground_truth_at_10px,precision_at_10px,recall_at_10px
i_ajuntament,illumination,sift,1_2,2,840,780,348,0.088566255569458,219,322,0.6293103448275862,0.6801242236024845,269,429,0.7729885057471264,0.627039627039627,284,481,0.8160919540229885,0.5904365904365905,286,557,0.8218390804597702,0.5134649910233393,287,723,0.8247126436781609,0.3969571230982019
i_ajuntament,illumination,sift,1_3,3,840,417,64,0.088566255569458,2,54,0.03125,0.037037037037037035,6,96,0.09375,0.0625,12,137,0.1875,0.08759124087591241,15,221,0.234375,0.06787330316742081,21,418,0.328125,0.050239234449760764
i_ajuntament,illumination,sift,1_4,4,840,302,38,0.088566255569458,2,24,0.05263157894736842,0.08333333333333333,5,42,0.13157894736842105,0.11904761904761904,6,67,0.15789473684210525,0.08955223880597014,6,118,0.15789473684210525,0.05084745762711865,6,198,0.15789473684210525,0.030303030303030304
i_ajuntament,illumination,sift,1_5,5,840,236,79,0.088566255569458,7,23,0.08860759493670886,0.30434782608695654,8,47,0.10126582278481013,0.1702127659574468,8,69,0.10126582278481013,0.11594202898550725,8,114,0.10126582278481013,0.07017543859649122,8,192,0.10126582278481013,0.041666666666666664
i_ajuntament,illumination,sift,1_6,6,840,290,33,0.088566255569458,6,23,0.18181818181818182,0.2608695652173913,6,45,0.18181818181818182,0.13333333333333333,7,69,0.21212121212121213,0.10144927536231885,7,119,0.21212121212121213,0.058823529411764705,8,209,0.24242424242424243,0.03827751196172249
i_ajuntament,illumination,orb,1_2,2,1942,1944,803,0.2236175060272217,576,1366,0.7173100871731009,0.4216691068814056,692,1669,0.8617683686176837,0.41461953265428403,733,1766,0.912826899128269,0.4150622876557191,747,1858,0.9302615193026152,0.40204520990312165,752,1902,0.9364881693648817,0.3953732912723449
i_ajuntament,illumination,orb,1_3,3,1942,1364,66,0.2236175060272217,21,523,0.3181818181818182,0.040152963671128104,26,779,0.3939393939393939,0.03337612323491656,35,917,0.5303030303030303,0.03816793893129771,37,1109,0.5606060606060606,0.033363390441839495,38,1396,0.5757575757575758,0.027220630372492838
i_ajuntament,illumination,orb,1_4,4,1942,1346,16,0.2236175060272217,2,294,0.125,0.006802721088435374,3,442,0.1875,0.006787330316742082,5,549,0.3125,0.009107468123861567,7,614,0.4375,0.011400651465798045,8,719,0.5,0.011126564673157162
i_ajuntament,illumination,orb,1_5,5,1942,1242,30,0.2236175060272217,4,293,0.13333333333333333,0.013651877133105802,6,443,0.2,0.013544018058690745,6,551,0.2,0.010889292196007259,9,646,0.3,0.01393188854489164,11,755,0.36666666666666664,0.01456953642384106
i_ajuntament,illumination,orb,1_6,6,1942,1365,26,0.2236175060272217,4,305,0.15384615384615385,0.013114754098360656,7,467,0.2692307692307692,0.014989293361884369,7,587,0.2692307692307692,0.01192504258943782,8,662,0.3076923076923077,0.012084592145015106,11,752,0.4230769230769231,0.014627659574468085
i_autannes,illumination,sift,1_2,2,2677,2770,641,0.7277737617492676,598,842,0.9329173166926678,0.7102137767220903,616,930,0.9609984399375975,0.6623655913978495,619,1031,0.9656786271450858,0.600387972841901,619,1401,0.9656786271450858,0.44182726623840113,624,1872,0.9734789391575663,0.3333333333333333
i_autannes,illumination,sift,1_3,3,2677,3686,456,0.7277737617492676,410,676,0.8991228070175439,0.606508875739645,426,772,0.9342105263157895,0.5518134715025906,429,877,0.9407894736842105,0.48916761687571264,430,1285,0.9429824561403509,0.3346303501945525,432,1787,0.9473684210526315,0.2417459429210968
i_autannes,illumination,sift,1_4,4,2677,8449,72,0.7277737617492676,2,132,0.027777777777777776,0.015151515151515152,16,529,0.2222222222222222,0.030245746691871456,27,977,0.375,0.027635619242579325,59,1674,0.8194444444444444,0.03524492234169654,61,2395,0.8472222222222222,0.02546972860125261
i_autannes,illumination,sift,1_5,5,2677,7792,69,0.7277737617492676,38,409,0.5507246376811594,0.09290953545232274,48,745,0.6956521739130435,0.06442953020134229,50,1039,0.7246376811594203,0.04812319538017324,50,1703,0.7246376811594203,0.029359953024075163,52,2404,0.7536231884057971,0.021630615640599003
i_autannes,illumination,sift,1_6,6,2677,3236,250,0.7277737617492676,125,490,0.5,0.25510204081632654,220,828,0.88,0.26570048309178745,231,1043,0.924,0.2214765100671141,236,1561,0.944,0.15118513773222295,236,2224,0.944,0.10611510791366907
i_autannes,illumination,orb,1_2,2,1986,2000,110,0.24465541839599608,85,167,0.7727272727272727,0.5089820359281437,99,247,0.9,0.4008097165991903,101,314,0.9181818181818182,0.321656050955414,104,408,0.9454545454545454,0.2549019607843137,105,630,0.9545454545454546,0.16666666666666666
i_autannes,illumination,orb,1_3,3,1986,2000,38,0.24465541839599608,23,106,0.6052631578947368,0.2169811320754717,26,158,0.6842105263157895,0.16455696202531644,29,212,0.7631578947368421,0.13679245283018868,30,319,0.7894736842105263,0.09404388714733543,31,442,0.8157894736842105,0.07013574660633484
i_autannes,illumination,orb,1_4,4,1986,2000,34,0.24465541839599608,11,154,0.3235294117647059,0.07142857142857142,17,337,0.5,0.050445103857566766,26,491,0.7647058823529411,0.05295315682281059,26,678,0.7647058823529411,0.038348082595870206,29,891,0.8529411764705882,0.03254769921436588
i_autannes,illumination,orb,1_5,5,1986,2000,21,0.24465541839599608,10,281,0.47619047619047616,0.03558718861209965,14,473,0.6666666666666666,0.02959830866807611,14,594,0.6666666666666666,0.02356902356902357,15,785,0.7142857142857143,0.01910828025477707,16,1055,0.7619047619047619,0.015165876777251185
i_autannes,illumination,orb,1_6,6,1986,1962,230,0.24465541839599608,98,926,0.4260869565217391,0.10583153347732181,175,1443,0.7608695652173914,0.12127512127512127,210,1649,0.9130434782608695,0.12734990903577925,222,1804,0.9652173913043478,0.12305986696230599,224,1902,0.9739130434782609,0.11777076761303891
i_bologna,illumination,sift,1_2,2,264,573,97,0.0568997859954834,91,163,0.9381443298969072,0.558282208588957,94,191,0.9690721649484536,0.49214659685863876,94,203,0.9690721649484536,0.4630541871921182,94,230,0.9690721649484536,0.40869565217391307,95,258,0.979381443298969,0.3682170542635659
i_bologna,illumination,sift,1_3,3,264,786,82,0.0568997859954834,70,129,0.8536585365853658,0.5426356589147286,75,165,0.9146341463414634,0.45454545454545453,76,180,0.926829268292683,0.4222222222222222,76,217,0.926829268292683,0.35023041474654376,76,257,0.926829268292683,0.29571984435797666
